País o territorio(Territorios sin soberanía plena en cursiva),Países o territorios vecinos(Territorios sin soberanía plena en cursiva)
China,Afganistán
China,Bután
China,Birmania
China,Corea del Norte
China,India
China,Kazajistán
China,Kirguistán
China,Laos
China,Mongolia
China,Nepal
China,Pakistán
China,Rusia
China,Tayikistán
China,Vietnam
China,Hong Kong[1]​
China,Macao[1]​
Rusia,Azerbaiyán
Rusia,Bielorrusia
Rusia,China
Rusia,Corea del Norte
Rusia,Estonia
Rusia,Finlandia
Rusia,Georgia
Rusia,Kazajistán
Rusia,Letonia
Rusia,Lituania[2]​
Rusia,Mongolia
Rusia,Noruega
Rusia,Polonia[2]​
Rusia,Ucrania
Brasil,Argentina
Brasil,Bolivia
Brasil,Colombia
Brasil,Francia[3]​
Brasil,Guyana
Brasil,Paraguay
Brasil,Perú
Brasil,Surinam
Brasil,Uruguay
Brasil,Venezuela
India,Bangladés
India,Bután
India,Birmania
India,China
India,Nepal
India,Pakistán
Estados Unidos,Canadá[4]​
Estados Unidos,México
Kazajistán,China
Kazajistán,Kirguistán
Kazajistán,Rusia
Kazajistán,Turkmenistán
Kazajistán,Uzbekistán
República Democrática del Congo,Angola[5]​
República Democrática del Congo,Burundi
República Democrática del Congo,República Centroafricana
República Democrática del Congo,República del Congo
República Democrática del Congo,Ruanda
República Democrática del Congo,Sudán del Sur
República Democrática del Congo,Tanzania
República Democrática del Congo,Uganda
República Democrática del Congo,Zambia
Argentina,Bolivia
Argentina,Brasil
Argentina,Chile[6]​
Argentina,Paraguay
Argentina,Uruguay
Canadá,Estados Unidos[4]​
Mongolia,China
Mongolia,Rusia
Malí,Argelia
Malí,Burkina Faso
Malí,Costa de Marfil
Malí,Guinea
Malí,Mauritania
Malí,Níger
Malí,Senegal
Perú,Bolivia
Perú,Brasil
Perú,Chile
Perú,Colombia
Perú,Ecuador
Pakistán,Afganistán
Pakistán,China
Pakistán,India
Pakistán,Irán
Sudán,Egipto
Sudán,Chad
Sudán,Eritrea
Sudán,Etiopía
Sudán,Libia
Sudán,República Centroafricana
Sudán,Sudán del Sur
Bolivia,Argentina
Bolivia,Brasil
Bolivia,Chile
Bolivia,Paraguay
Bolivia,Perú
Argelia,Libia
Argelia,Malí
Argelia,Marruecos
Argelia,Mauritania
Argelia,Níger
Argelia,Túnez
Argelia,Sahara Occidental[8]​
Uzbekistán,Afganistán
Uzbekistán,Kazajistán
Uzbekistán,Kirguistán
Uzbekistán,Tayikistán
Uzbekistán,Turkmenistán
Chile,Argentina[6]​
Chile,Bolivia
Chile,Perú
Colombia,Brasil
Colombia,Ecuador
Colombia,Panamá
Colombia,Perú
Colombia,Venezuela
Chad,Camerún
Chad,Libia
Chad,Níger
Chad,Nigeria
Chad,República Centroafricana
Chad,Sudán
Birmania,Bangladés
Birmania,China
Birmania,India
Birmania,Laos
Birmania,Tailandia
Níger,Argelia
Níger,Benín
Níger,Burkina Faso
Níger,Chad
Níger,Libia
Níger,Malí
Níger,Nigeria
Zambia,Angola
Zambia,Botsuana
Zambia,Malaui
Zambia,Mozambique
Zambia,Namibia
Zambia,República Democrática del Congo
Zambia,Tanzania
Zambia,Zimbabue
Afganistán,China
Afganistán,Irán
Afganistán,Pakistán
Afganistán,Tayikistán
Afganistán,Turkmenistán
Afganistán,Uzbekistán
República del Congo,Angola[9]​
República del Congo,Camerún
República del Congo,Gabón
República del Congo,República Centroafricana
República del Congo,República Democrática del Congo
Irán,Afganistán
Irán,Armenia
Irán,Azerbaiyán
Irán,Irak
Irán,Pakistán
Irán,Turkmenistán
Irán,Turquía
Etiopía,Eritrea
Etiopía,Kenia
Etiopía,Somalia
Etiopía,Sudán
Etiopía,Sudán del Sur
Etiopía,Yibuti
Angola,Namibia
Angola,República Democrática del Congo[5]​
Angola,República del Congo[9]​
Angola,Zambia
Laos,Birmania
Laos,Camboya
Laos,China
Laos,Tailandia
Laos,Vietnam
Mauritania,Argelia
Mauritania,Malí
Mauritania,Sahara Occidental[8]​
Mauritania,Senegal
Venezuela,Brasil
Venezuela,Colombia
Venezuela,Guyana
Tailandia,Birmania
Tailandia,Camboya
Tailandia,Laos
Tailandia,Malasia
Sudáfrica,Botsuana
Sudáfrica,Lesoto
Sudáfrica,Mozambique
Sudáfrica,Namibia
Sudáfrica,Suazilandia
Sudáfrica,Zimbabue
Sudán del Sur,Etiopía
Sudán del Sur,Kenia
Sudán del Sur,República Centroafricana
Sudán del Sur,República Democrática del Congo
Sudán del Sur,Sudán
Sudán del Sur,Uganda
Ucrania,Bielorrusia
Ucrania,Eslovaquia
Ucrania,Hungría
Ucrania,Moldavia
Ucrania,Polonia
Ucrania,Rumania[10]​
Ucrania,Rusia
Vietnam,Camboya
Vietnam,China
Vietnam,Laos
Mozambique,Malaui
Mozambique,Suazilandia
Mozambique,Sudáfrica
Mozambique,Tanzania
Mozambique,Zambia
Mozambique,Zimbabue
Arabia Saudita,Emiratos Árabes Unidos
Arabia Saudita,Catar
Arabia Saudita,Irak
Arabia Saudita,Jordania
Arabia Saudita,Kuwait
Arabia Saudita,Omán
Arabia Saudita,Yemen
República Centroafricana,Chad
República Centroafricana,Camerún
República Centroafricana,República Democrática del Congo
República Centroafricana,República del Congo
República Centroafricana,Sudán
República Centroafricana,Sudán del Sur
Libia,Argelia
Libia,Chad
Libia,Egipto
Libia,Níger
Libia,Sudán
Libia,Túnez
México,Belice
México,Estados Unidos
México,Guatemala
Bangladés,Birmania
Bangladés,India
Francia[11]​,Alemania
Francia[11]​,Andorra
Francia[11]​,Bélgica
Francia[11]​,Brasil[3]​
Francia[11]​,España
Francia[11]​,Italia
Francia[11]​,Luxemburgo
Francia[11]​,Mónaco
Francia[11]​,Países Bajos
Francia[11]​,Suiza
Francia[11]​,Surinam[3]​
Nigeria,Benín
Nigeria,Camerún
Nigeria,Chad
Nigeria,Níger
Botsuana,Namibia
Botsuana,Sudáfrica
Botsuana,Zambia
Botsuana,Zimbabue
Namibia,Angola
Namibia,Botsuana
Namibia,Sudáfrica
Namibia,Zambia
Kirguistán,China
Kirguistán,Kazajistán
Kirguistán,Uzbekistán
Kirguistán,Tayikistán
Tanzania,Burundi
Tanzania,Kenia
Tanzania,Malaui
Tanzania,Mozambique
Tanzania,República Democrática del Congo
Tanzania,Ruanda
Tanzania,Uganda
Tanzania,Zambia
Camerún,Chad
Camerún,Gabón
Camerún,Guinea Ecuatorial
Camerún,Nigeria
Camerún,República del Congo
Paraguay,Argentina
